-0.193	-0.186	-0.126	-0.076	-0.071	-0.036	-0.106	-0.141	-0.191	-0.275	-0.406	-0.523	-0.660	-0.805	-1.070
-0.130	-0.122	-0.067	-0.024	-0.026	0.021	-0.074	-0.116	-0.170	-0.273	-0.377	-0.499	-0.617	-0.746	-0.990
-0.080	-0.062	-0.007	0.019	0.022	0.069	-0.017	-0.073	-0.134	-0.230	-0.332	-0.440	-0.566	-0.679	-0.910
-0.074	-0.041	0.021	0.047	0.048	0.095	0.015	-0.037	-0.090	-0.189	-0.267	-0.373	-0.497	-0.606	-0.840
-0.035	0.001	0.048	0.071	0.060	0.094	0.029	-0.008	-0.073	-0.159	-0.224	-0.315	-0.446	-0.543	-0.750
-0.009	0.006	0.055	0.076	0.060	0.093	0.028	-0.017	-0.053	-0.145	-0.233	-0.293	-0.421	-0.506	-0.670
-0.006	-0.004	0.055	0.095	0.063	0.108	0.050	0.010	-0.034	-0.144	-0.231	-0.308	-0.381	-0.450	-0.610
-0.015	-0.024	0.024	0.048	0.045	0.096	0.031	-0.006	-0.024	-0.119	-0.223	-0.277	-0.341	-0.412	-0.560
-0.034	-0.044	-0.010	0.020	0.044	0.079	0.026	-0.010	-0.041	-0.135	-0.202	-0.257	-0.330	-0.395	-0.530
-0.070	-0.090	-0.050	-0.026	-0.007	0.065	0.020	-0.007	-0.033	-0.118	-0.167	-0.231	-0.294	-0.353	-0.440
-0.103	-0.115	-0.075	-0.054	-0.046	0.030	-0.001	-0.003	-0.018	-0.098	-0.173	-0.236	-0.272	-0.300	-0.400
-0.178	-0.172	-0.123	-0.086	-0.090	-0.018	-0.046	-0.044	-0.042	-0.122	-0.187	-0.265	-0.232	-0.273	-0.360
-0.245	-0.239	-0.184	-0.144	-0.171	-0.115	-0.142	-0.147	-0.086	-0.231	-0.302	-0.302	-0.216	-0.239	-0.320
-0.319	-0.310	-0.253	-0.211	-0.292	-0.281	-0.321	-0.284	-0.216	-0.306	-0.301	-0.375	-0.196	-0.218	-0.270
-0.310	-0.290	-0.300	-0.230	-0.220	-0.190	-0.180	-0.190	-0.160	-0.230	-0.180	-0.200	-0.250	-0.240	-0.250


-0.277	-0.187	-0.082	-0.026	-0.018	0.026	-0.052	-0.101	-0.180	-0.278	-0.379	-0.546	-0.593	-0.718	-0.718
-0.189	-0.126	-0.032	0.013	0.017	0.048	-0.028	-0.081	-0.151	-0.268	-0.344	-0.458	-0.550	-0.653	-0.653
-0.100	-0.050	0.017	0.047	0.036	0.055	-0.015	-0.059	-0.147	-0.249	-0.384	-0.477	-0.517	-0.612	-0.612
-0.041	0.000	0.054	0.093	0.080	0.113	0.019	-0.044	-0.109	-0.220	-0.307	-0.382	-0.483	-0.557	-0.557
0.015	0.045	0.113	0.134	0.089	0.119	0.049	-0.006	-0.067	-0.187	-0.284	-0.372	-0.445	-0.504	-0.504
0.051	0.053	0.118	0.142	0.088	0.120	0.057	0.014	-0.065	-0.182	-0.252	-0.322	-0.405	-0.480	-0.480
0.083	0.070	0.111	0.125	0.092	0.139	0.057	0.021	-0.058	-0.171	-0.224	-0.292	-0.379	-0.450	-0.450
0.110	0.077	0.104	0.117	0.109	0.136	0.073	0.021	-0.050	-0.155	-0.241	-0.292	-0.353	-0.416	-0.416
0.121	0.073	0.092	0.103	0.080	0.150	0.078	0.047	-0.036	-0.124	-0.202	-0.254	-0.318	-0.357	-0.357
0.120	0.077	0.094	0.082	0.060	0.115	0.076	0.049	-0.011	-0.105	-0.181	-0.225	-0.281	-0.309	-0.309
0.110	0.064	0.077	0.081	0.053	0.115	0.072	0.048	-0.009	-0.086	-0.155	-0.189	-0.218	-0.248	-0.248
0.084	0.026	0.041	0.050	-0.025	0.015	-0.019	-0.023	0.005	-0.066	-0.122	-0.162	-0.174	-0.182	-0.182
0.049	-0.004	0.005	0.009	-0.070	-0.045	-0.054	-0.059	-0.014	-0.059	-0.108	-0.126	-0.118	-0.129	-0.129
0.054	0.004	-0.015	-0.016	-0.100	-0.085	-0.083	-0.079	-0.044	-0.083	-0.089	-0.120	-0.106	-0.107	-0.107
0.009	-0.048	-0.077	-0.100	-0.147	-0.117	-0.160	-0.155	-0.141	-0.155	-0.126	-0.130	-0.147	-0.092	-0.036

-0.469	-0.337	-0.240	-0.200	-0.209	-0.152	-0.115	-0.146	-0.208	-0.333	-0.372	-0.409	-0.507	-0.703	NAN
-0.356	-0.246	-0.177	-0.142	-0.172	-0.112	-0.073	-0.091	-0.172	-0.275	-0.314	-0.346	-0.450	-0.645	NAN
-0.273	-0.173	-0.111	-0.095	-0.114	-0.086	-0.040	-0.070	-0.146	-0.250	-0.301	-0.306	-0.401	-0.610	NAN
-0.226	-0.119	-0.079	-0.046	-0.083	-0.040	-0.005	-0.037	-0.109	-0.236	-0.276	-0.310	-0.384	-0.566	NAN
-0.174	-0.084	-0.035	-0.018	-0.072	-0.033	0.030	-0.007	-0.067	-0.190	-0.251	-0.301	-0.368	-0.504	NAN
-0.137	-0.076	-0.030	-0.021	-0.071	-0.041	0.025	-0.006	-0.066	-0.173	-0.227	-0.271	-0.309	-0.468	NAN
-0.110	-0.069	-0.040	-0.037	-0.075	-0.029	0.022	-0.005	-0.069	-0.171	-0.205	-0.234	-0.280	-0.443	NAN
-0.095	-0.054	-0.015	-0.031	-0.051	-0.006	0.050	0.032	0.063	0.029	-0.076	-0.150	-0.174	-0.208	NAN
-0.085	-0.052	-0.043	-0.048	-0.083	-0.017	0.049	0.031	0.054	0.027	-0.068	-0.130	-0.147	-0.179	NAN
-0.109	-0.071	-0.054	-0.076	-0.111	-0.044	0.025	0.022	0.032	0.020	-0.042	-0.110	-0.121	-0.171	NAN
-0.137	-0.111	-0.084	-0.099	-0.146	-0.091	-0.006	0.016	-0.002	-0.004	-0.049	-0.103	-0.111	-0.135	NAN
-0.180	-0.151	-0.152	-0.152	-0.189	-0.144	-0.067	-0.045	-0.050	-0.120	-0.106	-0.108	-0.110	-0.115	NAN
-0.234	-0.211	-0.208	-0.212	-0.250	-0.200	-0.134	-0.103	-0.102	-0.144	-0.134	-0.133	-0.111	-0.107	NAN
-0.271	-0.249	-0.241	-0.249	-0.303	-0.249	-0.177	-0.152	-0.151	-0.179	-0.162	-0.167	-0.111	-0.097	NAN
-0.331	-0.302	-0.309	-0.333	-0.369	-0.326	-0.268	-0.234	-0.240	-0.253	-0.241	-0.236	-0.184	-0.148	NAN


-0.441	-0.308	-0.228	-0.206	-0.211	-0.149	-0.205	-0.140	-0.117	-0.153	-0.273	-0.345	-0.379	-0.435	NAN
-0.343	-0.237	-0.173	-0.149	-0.172	-0.108	-0.077	-0.107	-0.077	-0.111	-0.211	-0.304	-0.317	-0.371	NAN
-0.247	-0.148	-0.110	-0.108	-0.135	-0.081	-0.046	-0.085	-0.041	-0.100	-0.203	-0.268	-0.317	-0.321	NAN
-0.207	-0.112	-0.070	-0.049	-0.102	-0.039	-0.014	-0.062	-0.040	-0.091	-0.184	-0.275	-0.297	-0.340	NAN
-0.165	-0.073	-0.037	-0.034	-0.080	-0.032	0.022	-0.036	-0.008	-0.061	-0.166	-0.239	-0.272	-0.317	NAN
-0.116	-0.067	-0.032	-0.031	-0.081	-0.035	0.019	-0.020	0.000	-0.043	-0.143	-0.211	-0.253	-0.299	NAN
-0.106	-0.042	-0.035	-0.041	-0.080	-0.018	0.013	-0.030	0.025	-0.032	-0.136	-0.208	-0.239	-0.261	NAN
-0.078	-0.043	-0.019	-0.050	-0.044	0.018	0.053	0.023	0.051	-0.169	-0.204	-0.233	-0.292	-0.440	NAN
-0.080	-0.039	-0.040	-0.066	-0.066	0.019	0.060	0.030	-0.052	-0.142	-0.171	-0.204	-0.272	-0.404	NAN
-0.098	-0.058	-0.028	-0.051	-0.079	-0.006	0.053	0.031	-0.037	-0.110	-0.137	-0.171	-0.216	-0.360	NAN
-0.112	-0.096	-0.039	-0.072	-0.108	-0.036	0.025	0.025	-0.040	-0.103	-0.109	-0.137	-0.177	-0.303	NAN
-0.168	-0.131	-0.139	-0.148	-0.125	-0.075	-0.001	-0.003	-0.039	-0.103	-0.103	-0.108	-0.149	-0.258	NAN
-0.204	-0.186	-0.186	-0.206	-0.178	-0.119	-0.054	-0.040	-0.064	-0.104	-0.076	-0.079	-0.109	-0.206	NAN
-0.216	-0.210	-0.219	-0.244	-0.208	-0.145	-0.099	-0.074	-0.096	-0.112	-0.083	-0.068	-0.102	-0.183	NAN
-0.268	-0.267	-0.278	-0.314	-0.247	-0.199	-0.146	-0.129	-0.157	-0.170	-0.134	-0.103	-0.115	-0.185	NAN

-0.490	-0.359	-0.265	-0.233	-0.237	-0.166	-0.231	-0.210	-0.134	-0.129	-0.165	-0.267	-0.340	-0.376	NAN
-0.394	-0.270	-0.201	-0.174	-0.197	-0.129	-0.096	-0.123	-0.099	-0.094	-0.126	-0.232	-0.303	-0.333	NAN
-0.301	-0.190	-0.132	-0.135	-0.160	-0.098	-0.061	-0.098	-0.068	-0.057	-0.102	-0.211	-0.271	-0.318	NAN
-0.255	-0.144	-0.104	-0.079	-0.109	-0.062	-0.030	-0.070	-0.002	-0.055	-0.156	-0.236	-0.260	-0.299	NAN
-0.200	-0.105	-0.058	-0.061	-0.096	-0.036	0.003	-0.037	0.029	-0.020	-0.121	-0.209	-0.228	-0.278	NAN
-0.161	-0.089	-0.051	-0.045	-0.099	-0.034	0.004	-0.029	0.033	-0.006	-0.101	-0.194	-0.196	-0.257	NAN
-0.133	-0.069	-0.057	-0.057	-0.091	-0.024	0.009	-0.027	0.031	-0.003	-0.092	-0.189	-0.196	-0.230	NAN
-0.105	-0.061	-0.029	-0.037	-0.067	-0.007	0.046	0.030	0.036	0.006	-0.075	-0.173	-0.199	-0.227	NAN
-0.082	-0.057	-0.032	-0.057	-0.093	-0.012	0.045	0.036	0.043	0.010	-0.064	-0.141	-0.172	-0.198	NAN
-0.100	-0.061	-0.047	-0.067	-0.103	-0.039	0.038	0.036	0.033	0.016	-0.039	-0.122	-0.153	-0.186	NAN
-0.130	-0.093	-0.065	-0.078	-0.129	-0.073	0.006	0.009	0.009	0.003	-0.050	-0.104	-0.134	-0.153	NAN
-0.162	-0.136	-0.132	-0.133	-0.175	-0.129	-0.045	-0.030	-0.040	-0.126	-0.116	-0.106	-0.123	-0.125	NAN
-0.200	-0.193	-0.171	-0.183	-0.228	-0.170	-0.101	-0.066	-0.093	-0.134	-0.127	-0.122	-0.116	-0.103	NAN
-0.236	-0.224	-0.212	-0.223	-0.267	-0.212	-0.156	-0.128	-0.135	-0.171	-0.142	-0.146	-0.118	-0.092	NAN
-0.272	-0.259	-0.256	-0.281	-0.325	-0.272	-0.212	-0.193	-0.197	-0.225	-0.196	-0.200	-0.160	-0.126	NAN

-0.514	-0.381	-0.282	-0.229	-0.246	-0.178	-0.223	-0.157	-0.120	-0.148	-0.228	-0.346	-0.364	-0.423	NAN
-0.421	-0.290	-0.216	-0.179	-0.191	-0.134	-0.089	-0.112	-0.082	-0.114	-0.186	-0.287	-0.320	-0.355	NAN
-0.326	-0.207	-0.150	-0.127	-0.150	-0.100	-0.055	-0.085	-0.049	-0.084	-0.162	-0.260	-0.314	-0.322	NAN
-0.271	-0.161	-0.116	-0.082	-0.114	-0.059	-0.020	-0.051	-0.014	-0.047	-0.146	-0.227	-0.266	-0.319	NAN
-0.220	-0.123	-0.057	-0.032	-0.083	-0.050	0.017	-0.019	0.034	0.002	-0.095	-0.192	-0.253	-0.297	NAN
-0.179	-0.096	-0.052	-0.026	-0.081	-0.052	0.018	-0.012	0.039	0.008	-0.083	-0.185	-0.225	-0.276	NAN
-0.148	-0.085	-0.054	-0.047	-0.084	-0.028	0.020	0.002	0.047	0.010	-0.062	-0.180	-0.218	-0.245	NAN
